,Rank,Institution,City,State
0,0,Massachusetts Institute of Technology,Cambridge, MA 
1,1,Stanford University,Stanford, CA 
2,2,Harvard University,Cambridge, MA 
3,3,Yale University,New Haven, CT 
4,4,Princeton University,Princeton, NJ 
5,5,University of Pennsylvania,Philadelphia, PA 
6,6,Columbia University,New York, NY 
7,7,Duke University,Durham, NC 
8,8,Brown University,Providence, RI 
9,9,California Institute of Technology,Pasadena, CA 
10,10,Washington University in St. Louis,Saint Louis, MO 
11,11,Rice University,Houston, TX 
12,12,University of Notre Dame,Notre Dame, IN 
13,13,Northwestern University,Evanston, IL 
14,14,University of Chicago,Chicago, IL 
15,15,Pomona College,Claremont, CA 
16,16,Bowdoin College,Brunswick, ME 
17,17,Vanderbilt University,Nashville, TN 
18,18,Dartmouth College,Hanover, NH 
19,19,University of Southern California,Los Angeles, CA 
20,20,Cornell University,Ithaca, NY 
21,21,Georgetown University,Washington, DC 
22,22,University of Michigan at Ann Arbor,Ann Arbor, MI 
23,23,Amherst College,Amherst, MA 
24,24,Tufts University,Medford, MA 
25,25,Johns Hopkins University,Baltimore, MD 
26,26,Emory University,Atlanta, GA 
27,27,University of Virginia,Charlottesville, VA 
28,28,University of California at Los Angeles,Los Angeles, CA 
29,29,Swarthmore College,Swarthmore, PA 
30,30,United States Military Academy at West Point,West Point, NY 
31,31,Middlebury College,Middlebury, VT 
32,32,Carnegie Mellon University,Pittsburgh, PA 
33,33,Barnard College,New York, NY 
34,34,Carleton College,Northfield, MN 
35,35,Washington & Lee University,Lexington, VA 
36,36,University of California at Berkeley,Berkeley, CA 
37,37,Georgia Institute of Technology,Atlanta, GA 
38,38,Wellesley College,Wellesley, MA 
39,39,Haverford College,Haverford, PA 
40,40,Claremont McKenna College,Claremont, CA 
41,41,Williams College,Williamstown, MA 
42,42,Bates College,Lewiston, ME 
43,43,University of North Carolina at Chapel Hill,Chapel Hill, NC 
44,44,Wake Forest University,Winston-Salem, NC 
45,45,Northeastern University,Boston, MA 
46,46,Virginia Tech,Blacksburg, VA 
47,47,University of Texas at Austin,Austin, TX 
48,48,Lehigh University,Bethlehem, PA 
49,49,Colby College,Waterville, ME 
50,50,Boston College,Chestnut Hill, MA 
51,51,College of William & Mary,Williamsburg, VA 
52,52,Hamilton College,Clinton, NY 
53,53,Davidson College,Davidson, NC 
54,54,Colgate University,Hamilton, NY 
55,55,Smith College,Northampton, MA 
56,56,New York University,New York, NY 
57,57,University of Richmond,University of Richmond, VA 
58,58,Wesleyan University,Middletown, CT 
59,59,University of Wisconsin at Madison,Madison, WI 
60,60,Harvey Mudd College,Claremont, CA 
61,61,University of Florida,Gainesville, FL 
62,62,University of Rochester,Rochester, NY 
63,63,University of Illinois at Urbana-Champaign,Champaign, IL 
64,64,Bucknell University,Lewisburg, PA 
65,65,Boston University,Boston, MA 
